Inflow group,OMR bin,NAA,Act5
lolo,-2000,54189,48369
lolo,-3500,117806,100482
lolo,-5000,240433,211708
lolo,<-5500,546547,427151
lomed,-2000,81465,76711
lomed,-3500,130344,113418
lomed,-5000,208217,184167
lohi,-2000,130552,205733
lohi,-3500,208428,238008
lohi,-5000,226351,205883
medlo,-2000,27647,45576
medlo,-3500,172490,169404
medlo,-5000,217383,204852
medlo,<-5500,606560,505209
medmed,-2000,92454,81465
medmed,-3500,195201,152088
medmed,-5000,251330,241065
medmed,<-5500,546334,554052
medhi,-2000,143735,230079
medhi,-3500,319355,319355
medhi,-5000,470418,424496
medhi,<-5500,455531,506249
hilo,-3500,137049,154198
hilo,-5000,264382,309037
hilo,<-5500,245068,249990
himed,-2000,72558,62747
himed,-3500,175651,169801
himed,-5000,400448,412419
himed,<-5500,375420,375420
hihi,-2000,315738,319078
hihi,-3500,345153,376743
hihi,-5000,368941,371534
hihi,<-5500,395764,399096
